abc1,abc2,abc3,abc4,Date,SI,OI
-0.031949305,-0.037739282,-0.037607118,-0.037869351,10/05/2005,-0.010261723,0.020873
0.023647667,0.02343884,0.018698678,0.015446682,17/05/2005,-0.003019897,-0.04063
-0.005139278,-0.006809245,-0.006017037,-0.00580485,24/05/2005,-0.015849928,-0.028073
0.031048116,-1.63E-05,-2.73E-05,0.007060134,31/05/2005,-0.003445836,0.020391
-0.02288753,-0.018453517,-0.017356829,-0.016466156,7/06/2005,0.023968299,0.000192
0.038459304,0.04973704,0.064607019,0.075581217,14/06/2005,0.013809837,0.023602
0.058424523,0.059189199,0.058256196,0.057485374,21/06/2005,0.010156697,-0.035533
0.096429963,0.078331315,0.072221885,0.065879333,28/06/2005,0.002378618,0.011588
0.040599752,0.026789725,0.025500311,0.024653494,5/07/2005,0.012144534,0.030771
0.040179365,0.056778084,0.059033014,0.062864652,12/07/2005,0.000843571,0.014222
0.064215495,0.059544911,0.052982807,0.048762561,19/07/2005,-0.018114391,-0.00556
-0.055273436,-0.053994026,-0.054208398,-0.055690801,26/07/2005,-0.008110541,-0.020048
0.017075596,0.016144265,0.015362601,0.01514409,2/08/2005,0.016165934,0.037591
0.07165134,0.079190874,0.085990192,0.090355374,9/08/2005,0.00839333,0.047336
-0.049260554,-0.056735968,-0.055535613,-0.051459814,16/08/2005,0.002753796,0.070252
-0.106224996,-0.098090898,-0.090212596,-0.088187625,23/08/2005,-0.024633348,-0.061677
0.006808828,0.007469035,0.008688916,0.008218983,30/08/2005,0.003628963,0.018332
-0.096829349,-0.08964494,-0.083587145,-0.082078747,6/09/2005,0.005672044,-0.016862
-0.162368376,-0.163867426,-0.145037144,-0.136964009,13/09/2005,-0.036293425,-0.024713
0.014519909,0.015742223,0.016564697,0.016378214,20/09/2005,-0.006027885,-0.026259
-0.074731697,-0.064929664,-0.061369658,-0.061735485,27/09/2005,-0.015453695,0.004626
0.053265995,0.057732518,0.047227191,0.042075438,4/10/2005,-0.000532045,0.01491
0.007005913,0.010431893,0.010861084,0.011556222,11/10/2005,-0.016133594,-0.013755
0.12365664,0.171875328,0.172312148,0.174623406,18/10/2005,0.017231897,0.00777
0.011006827,0.021520309,0.044616268,0.061717116,25/10/2005,-0.016226259,-0.04273
-0.028624855,0.007716665,0.028377955,0.039836299,1/11/2005,-0.004562826,0.004424
-0.0457843,-0.0359226,-0.039863778,-0.04112374,8/11/2005,-0.006403199,0.008924
0.019103977,0.039357178,0.043104629,0.037468532,15/11/2005,-0.008908749,0.014308
-0.064212599,-0.098607034,-0.118738147,-0.127017599,22/11/2005,0.013005239,-0.039538
0.177779208,0.148050748,0.135316799,0.135031367,29/11/2005,0.001159913,0.031421
0.03940909,0.032548946,0.028365117,0.024894682,6/12/2005,0.018023298,0.024464
0.050965768,0.04126329,0.034334662,0.027766005,13/12/2005,-0.000168819,0.007797
0.017625072,0.015134646,0.013504303,0.012068539,20/12/2005,0.013551748,-0.056029
0.087817478,0.093058123,0.086673989,0.080851559,27/12/2005,-0.008725401,0.005661
0.017545953,0.005609926,0.00534627,0.004226354,3/01/2006,0.012672576,0.031027
0.136015593,0.120837781,0.114110346,0.109940393,10/01/2006,0.016138781,0.043081
0.004814074,-0.008179624,-0.0097401,-0.012423588,17/01/2006,-0.001034066,0.016624
-0.069117306,-0.059526654,-0.057999012,-0.056825771,24/01/2006,0.00794342,-0.001331
-0.045145543,-0.040787435,-0.038506104,-0.037921071,31/01/2006,0.014897887,0.04277
0.01683192,0.017880705,0.019083156,0.020427749,7/02/2006,-0.021571369,-0.009832
0.199553116,0.170346925,0.157516724,0.147207081,14/02/2006,-0.019394635,-0.014616
-0.151857812,-0.127431999,-0.126005434,-0.125078938,21/02/2006,-0.013910973,-0.037263
0.014924631,0.016371073,0.016644406,0.017074217,28/02/2006,0.006636827,0.052315
-0.003742281,-0.003577333,-0.003863598,-0.003814841,7/03/2006,0.007452086,0.024862
0.002046081,-0.001835009,0.002466526,0.005569806,14/03/2006,0.004224439,0.013802
0.034783137,0.044646935,0.048351039,0.050945416,21/03/2006,0.008740329,-0.051729
-0.015432162,-0.019951108,-0.016684707,-0.015924332,28/03/2006,0.01453503,0.007585
-0.142372606,-0.122461995,-0.11224303,-0.10252129,4/04/2006,0.023310092,0.031772
