abc1,abc2,abc3,abc4,Date,SI,OI
0.028035329,0.033125033,0.030780386,0.030862717,6/03/2001,0.002001595,0.002574
-0.005774766,-0.003208136,-0.003818182,-0.003557665,13/03/2001,0.014082251,0.006139
0.044735275,0.037986022,0.027695104,0.015478963,20/03/2001,-0.028675181,-0.001463
0.086256934,0.09668085,0.104205359,0.108106089,27/03/2001,0.015340488,-0.007403
0.011773873,0.01203702,0.011458611,0.010105509,3/04/2001,-0.039581049,-0.009364
0.081579332,0.080221104,0.081119692,0.086609517,10/04/2001,0.06102235,0.000173
0.029956128,0.032638956,0.03912427,0.042759951,17/04/2001,0.040417865,0.009461
-0.018523885,-0.01115402,-0.007833947,-0.003878993,24/04/2001,-5.27E-05,-0.025301
-0.046033199,-0.046970053,-0.048246099,-0.048515914,1/05/2001,0.006638212,0.006813
0.032385717,0.030918731,0.029854028,0.025494247,8/05/2001,-0.015753476,0.007928
-0.026997818,-0.022105552,-0.020030755,-0.018281075,15/05/2001,0.014537607,0.024554
-0.033773742,-0.028999561,-0.025498267,-0.020881004,22/05/2001,0.026217445,0.021169
0.003642338,-0.010205176,-0.006530944,-0.005122267,29/05/2001,-0.035051773,-0.017251
0.005431374,0.011208335,0.01753696,0.019360723,5/06/2001,-0.02379517,0.013696
-0.014925287,-0.014239309,-0.013962229,-0.01390564,12/06/2001,0.012685697,-0.010777
-0.040036732,-0.038557576,-0.035033086,-0.032822486,19/06/2001,-0.030018159,0.014509
0.060054406,0.063846507,0.063629591,0.061314136,26/06/2001,-0.048138003,-0.006697
-0.010703466,-0.010385388,-0.010628961,-0.011022192,3/07/2001,-0.024153382,-0.013921
-0.029153268,-0.03311879,-0.033838243,-0.033764883,10/07/2001,-0.01263754,-0.00571
-0.107330904,-0.088287951,-0.077647998,-0.071863345,17/07/2001,0.020016325,0.013491
-0.05691347,-0.050114858,-0.048266681,-0.047478319,24/07/2001,-0.012411079,-0.016814
-0.021396997,-0.010146968,-0.009207241,-0.004972645,31/07/2001,0.004075898,0.021746
0.006448514,-0.008446803,-0.010529667,-0.013097,7/08/2001,0.046003568,0.013614
-0.005029966,-0.007845511,-0.011395476,-0.0130595,14/08/2001,0.00384492,0.016137
-0.002464617,-0.001422735,-0.003320269,-0.003829284,21/08/2001,-0.011676546,-0.053093
0.002100919,0.024576204,0.029494771,0.029646699,28/08/2001,0.015370886,0.006236
0.005302499,-0.006344966,-0.009549661,-0.009461088,4/09/2001,-0.007258414,0.006924
0.035862581,0.012344127,0.008079465,0.007131945,11/09/2001,0,0
-0.06136709,-0.073591108,-0.087190671,-0.092008567,18/09/2001,0.072778709,0.001257
-0.022206513,-0.036505269,-0.043687495,-0.055411019,25/09/2001,-0.05660966,-0.048341
0.149122244,0.152412758,0.159453993,0.16460176,2/10/2001,-0.057201469,0.026032
-0.002667321,-0.001193494,-0.000385366,0.00097815,9/10/2001,0.002287632,0.018425
-0.003707381,-0.002537992,-0.002715359,-0.002371899,16/10/2001,-0.006943888,0.000335
-0.023951527,-0.030427377,-0.030835903,-0.034859472,23/10/2001,0.018926959,-0.032306
-0.000434838,0.002491011,0.002751942,0.003810465,30/10/2001,-0.014656525,0.011849
-0.006138717,-0.001925286,-0.001850168,-0.000684379,6/11/2001,-0.039411482,0.019764
-0.10894689,-0.117656353,-0.114527153,-0.112465689,13/11/2001,0.009136948,0.01554
0.0285158,0.034534837,0.033137033,0.032302491,20/11/2001,0.014363812,-0.049891
-0.025751868,-0.027181173,-0.027334007,-0.026789207,27/11/2001,0.012095699,0.01329
0.00236002,0.003377971,0.003246514,0.003383158,4/12/2001,-0.024609626,0.006328
0.00197554,0.001399843,0.000591462,0.000333854,11/12/2001,-0.018430935,0.025581
0.016552949,0.017769962,0.016193613,0.015686017,18/12/2001,-0.014971956,-0.025112
-0.002848553,-0.001691963,-0.001440118,-0.001134247,25/12/2001,0.000434638,-5.70E-05
0.004437422,0.004894299,4.67E-03,0.00484243,1/01/2002,0.015470405,-0.010399
0.003179452,0.004388263,0.004333556,0.004497947,8/01/2002,0.049300373,0.016145
0.033831004,0.038055667,0.038565008,0.036577122,15/01/2002,-0.001817274,0.026127
0.030432034,0.029320161,0.027547237,0.027297915,22/01/2002,0.011216013,-0.016101
0.049189066,0.037825928,0.031977354,0.026011312,29/01/2002,-0.010976109,0.000659
-0.061244268,-0.051128297,-0.042835896,-0.038283444,5/02/2002,0.010457097,0.005688
-0.017590378,-0.014989799,-0.014869258,-0.015109298,12/02/2002,0.048453277,0.020596
0.019596917,0.023733594,0.023780407,0.023411088,19/02/2002,0.037472587,-0.020015
-0.005871624,-0.001460103,-0.002491026,-0.002103361,26/02/2002,0.001623726,-0.000529
0.021388773,0.017278828,0.013250447,0.012095073,5/03/2002,0.041288359,0.02539
0.088408965,0.095604317,0.09987761,0.107084265,12/03/2002,0.009072561,0.028372
0.036033973,0.037956818,0.039989302,0.046632659,19/03/2002,0.057884158,-0.001103
-0.000136883,-0.000243513,-4.90E-05,-0.000778644,26/03/2002,0.017896035,-0.018654
-0.036660861,-0.023446104,-0.019614677,-0.019142738,2/04/2002,0.000215757,0.006801
-0.055780756,-0.056801272,-0.056350613,-0.055190195,9/04/2002,-0.017546512,0.001411
0.029771625,0.02720102,0.02866689,0.030048732,16/04/2002,-0.010898748,-0.000492
0.000181028,-0.001724219,-0.002440738,-0.003311952,23/04/2002,-0.014859591,-0.031592
-0.094192776,-0.075493988,-0.06747434,-0.070705234,30/04/2002,-0.012620644,0.022143
-0.04376477,-0.038971913,-0.043586974,-0.047004828,7/05/2002,-0.010514836,0.020761
0.021897971,0.028460339,0.028173768,0.028267765,14/05/2002,0.022539653,0.03357
0.107566399,0.084704293,0.083064534,0.083862034,21/05/2002,-0.036803492,-0.051045
0.003646209,0.002613592,0.001153183,0.000729981,28/05/2002,-0.003804517,0.005463
0.024142291,0.01169223,0.012095871,0.013451405,4/06/2002,-0.01175986,0.014924
0.026855263,0.006648021,0.007285425,0.006938363,11/06/2002,-0.024553105,-0.039574
0.033013053,0.030063183,0.024533511,0.01716155,18/06/2002,0.01511967,-0.001299
0.011690311,0.013594899,0.012012168,0.011674462,25/06/2002,0.026221704,-0.016709
-0.092094924,-0.062830827,-0.057457684,-0.054822212,2/07/2002,0.005304036,0.018152
-0.039650332,-0.043753396,-0.042042197,-0.039704686,9/07/2002,0.006274309,-0.017113
-0.005513389,-0.006186428,-0.006841098,-0.006941921,16/07/2002,0.018762789,0.033216
-0.096523405,-0.106723127,-0.109274016,-0.111446978,23/07/2002,-0.021766535,-0.040113
0.115398057,0.1474154,0.138990913,0.140672662,30/07/2002,0.009097649,-0.015742
0.044728231,0.02320228,0.023542358,0.025238514,6/08/2002,-0.033343208,-0.009668
-0.006089379,-0.005939054,-0.004378375,-0.004559702,13/08/2002,-0.010948863,0.044852
-0.001303115,-0.003041366,-0.003596951,-0.003940637,20/08/2002,0.007405327,-0.01272
0.047916125,0.033398359,0.032909852,0.031144302,27/08/2002,0.032408726,0.01827
-0.014149984,-0.009833575,-0.008651398,-0.008752004,3/09/2002,-0.007155097,0.010525
0.030832738,0.01698983,0.01442103,0.01203525,10/09/2002,0.008931038,0.00886
0.004905262,0.00615337,0.006481734,0.006788273,17/09/2002,0.011334206,0.003351
-0.004446061,-0.005785761,-0.006371337,-0.006850762,24/09/2002,0.000844429,0.024672
-0.100259299,-0.077022655,-0.063378536,-0.047106612,1/10/2002,0.010825814,0.029687
-0.003892324,-0.006825672,-0.007198809,-0.0069996,8/10/2002,-0.033581581,0.000885
0.027062733,0.015676133,0.013085232,0.005353003,15/10/2002,-0.013639333,0.011506
0.002251153,0.011494304,0.006630105,0.002047857,22/10/2002,-0.034029698,-0.06299
-0.038112285,-0.037613589,-0.03985393,-0.039251937,29/10/2002,-0.039856596,-0.015697
0.003571599,0.004815923,0.005219568,0.005111011,5/11/2002,0.002981287,0.004499
-0.017998075,-0.026932439,-0.027947056,-0.027732495,12/11/2002,-0.006836923,0.012454
-0.000750346,0.004601534,0.006972116,0.008114997,19/11/2002,-0.00062081,-0.016604
-0.000836884,-0.002604803,-0.00155029,-0.001635905,26/11/2002,0.015866116,-0.024185
0.006346482,0.015449277,0.015986972,0.015461944,3/12/2002,0.001644293,0.021275
0.001294607,0.004739205,0.00391012,0.003405897,10/12/2002,0.01819423,0.02824
-0.012120723,-0.017127874,-0.017902024,-0.018894064,17/12/2002,0.033075278,0.025169
-0.019255042,-0.018603563,-0.017875133,-0.016920204,24/12/2002,0.027253379,0.02471
-0.025474818,-0.01646373,-0.01274772,-0.009472206,31/12/2002,-0.019583598,0.023377
0.015171558,0.011429279,0.013953018,0.016219505,7/01/2003,-0.038995568,0.021374
-0.031367988,-0.019674557,-0.008548668,-0.004134597,14/01/2003,0.027392576,0.008726
0.026506369,0.022083419,0.024545398,0.0240696,21/01/2003,0.003276736,0.004225
-0.116037324,-0.081919732,-0.074829454,-0.078993031,28/01/2003,-0.018920748,-0.009293
0.061272624,0.04485995,0.035821207,0.029351507,4/02/2003,0.00328773,0.016054
-0.007881622,-0.019199333,-0.024758389,-0.027838125,11/02/2003,-0.010587974,0.025976
-0.036175321,-0.037938315,-0.035841726,-0.0314598,18/02/2003,-0.007895787,0.014203
0.035203811,0.024689303,0.021365961,0.018539339,25/02/2003,0.008190811,-0.026615
0.013709783,0.018135605,0.019673282,0.02032415,4/03/2003,-0.021448863,0.006602
-0.01755647,-0.009212592,-0.004949589,-0.005815679,11/03/2003,-0.043008944,-0.020018
0.008716453,-0.028977452,-0.03137944,-0.037667223,18/03/2003,0.008284875,-0.074791
-0.324190813,-0.337177953,-0.347880045,-0.337649953,25/03/2003,-0.033286377,-0.057927
0.033420837,0.04403269,0.03829848,0.04046915,1/04/2003,-0.019863978,0.015897
0.000154601,0.002095725,0.004988016,0.005641296,8/04/2003,0.014114064,0.003223
0.002989148,0.004899714,0.004597849,0.004968487,15/04/2003,0.003750844,0.006122
0.028745112,0.025159019,0.02748088,0.026864422,22/04/2003,0.020340205,-0.043621
0.038521912,0.030223789,0.031687221,0.028715267,29/04/2003,-0.006076768,0.008975
0.016933279,0.012511866,0.011096252,0.010809559,6/05/2003,-0.011848244,0.007727
0.008202406,0.017083607,0.017514699,0.018522675,13/05/2003,0.04237742,0.017772
0.041936949,0.047929209,0.044703625,0.042477025,20/05/2003,0.010227195,-0.048239
0.001704966,0.010855163,0.016249827,0.020083946,27/05/2003,0.004072218,-0.002955
0.016973178,0.011510058,0.011674079,0.01389625,3/06/2003,0.040159888,0.037805
0.05028847,0.051547586,0.050060806,0.050142316,10/06/2003,0.028987146,0.018178
0.027545119,0.032668478,0.036945713,0.036948197,17/06/2003,-0.021045696,-0.008798
-0.008829993,-0.031656435,-0.032585368,-0.031590505,24/06/2003,0.02653997,-0.036834
0.064008068,0.045539628,0.041646804,0.038775007,1/07/2003,0.015093626,0.042994
-0.001337264,-0.001404903,-0.002069639,-0.003143608,8/07/2003,0.004444378,0.016087
0.000369038,0.009197251,0.010780573,0.014399497,15/07/2003,0.012460048,0.012375
-0.002020256,0.000837694,0.000114098,-0.000543391,22/07/2003,-0.024879407,-0.025475
0.022699834,0.031703831,0.030566211,0.030625961,29/07/2003,0.023061084,-0.000576
0.001515229,0.002075659,0.002047091,0.001690009,5/08/2003,0.039364545,0.044771
-0.05630947,-0.06632776,-0.073199866,-0.076781734,12/08/2003,-0.018233156,0.007787
0.00155625,0.013739091,0.016874577,0.016806481,19/08/2003,-0.036013898,-0.035849
-0.023178646,-0.018711102,-0.01761156,-0.019321568,26/08/2003,0.025186676,0.004104
-0.001197743,0.003252357,0.004306558,0.004259191,2/09/2003,-0.047188806,0.016549
-0.061544419,-0.054156877,-0.060055333,-0.05943042,9/09/2003,-0.030268184,-0.032231
0.013778863,0.013099889,0.013083268,0.012861911,16/09/2003,-0.061300866,-0.008721
0.000672632,0.001070627,0.000767738,0.000651055,23/09/2003,-0.046495353,-0.025786
0.016835055,0.020983277,0.022777564,0.022780945,30/09/2003,0.028654888,0.02017
-0.134606949,-0.126665914,-0.12928822,-0.125659804,7/10/2003,0.040731512,0.020715
0.117684429,0.133914202,0.149262306,0.153275421,14/10/2003,0.07130162,0.040776
0.052796055,0.054794615,0.055926479,0.057125526,21/10/2003,0.004772855,-0.027916
0.005289874,0.002901419,0.001732937,0.000889214,28/10/2003,0.013020225,-0.001607
0.011752217,0.012232463,0.011298713,0.010699668,4/11/2003,-0.058146179,-0.015257
0.004609782,0.002386221,0.001441902,0.000699853,11/11/2003,0.036491618,0.021963
-0.02743118,-0.029507943,-0.032759944,-0.034338043,18/11/2003,0.064948198,0.050841
-0.020533709,-0.020032647,-0.022379483,-0.023701102,25/11/2003,-0.037575379,-0.043935
-0.07057326,-0.073628148,-0.080274178,-0.08281696,2/12/2003,0.001491292,-0.001691
0.014326309,0.015237655,0.015635208,0.015821671,9/12/2003,-0.001145256,0.023851
0.009612429,0.007888192,0.00775585,0.007373361,16/12/2003,0.035900895,0.029748
0.044183148,0.04978837,0.049178351,0.048043329,23/12/2003,-0.012723447,-0.010822
-0.028163208,-0.044262194,-0.044071358,-0.043561727,30/12/2003,0.002919742,0.011
